技术工程部-python开发工程师,北京·五道口,20k-40k,经验3-5年 / 本科,搜狗,"移动互联网,数据服务 / C轮",“技术先进、团队气氛佳”,"信息安全, 硬件制造, Java, 运维",https://www.lagou.com/jobs/3119907.html
Python开发工程师（高级）,深圳·科技园,30k-50k,经验3-5年 / 本科,Shopee,电子商务 / 上市公司,“东南亚跨境电商平台，发展非常迅速，求大牛”,"PHP, Ruby",https://www.lagou.com/jobs/2666427.html
Python软件开发工程师,深圳·南山区,15k-20k,经验1-3年 / 本科,深信服科技集团,"信息安全,企业服务 / 不需要融资","“平台大,发展快,待遇好,福利棒”",django,https://www.lagou.com/jobs/4009780.html
Python开发工程师（高级）,深圳·科技园,30k-50k,经验3-5年 / 本科,Shopee,电子商务 / 上市公司,“东南亚跨境电商平台，发展非常迅速，求大牛”,"PHP, Ruby",https://www.lagou.com/jobs/2666427.html
Python,北京·大山子,15k-30k,经验1-3年 / 不限,洋葱数学,"移动互联网,教育 / C轮","“年假15天,免费早午餐,技术氛围好,弹性不打卡”","中级, 全栈, php, Java",https://www.lagou.com/jobs/3856780.html
Python开发工程师,深圳·科技园,15k-25k,经验3-5年 / 本科,腾讯,"移动互联网 ,游戏 / 上市公司",“福利待遇优厚、大平台”,"免费班车, 成长空间, 年度旅游, 岗位晋升",https://www.lagou.com/jobs/1443983.html
高级Python研发工程师,上海·徐汇区,15k-30k,经验3-5年 / 本科,贝米钱包,金融 / A轮,"“商业保险,年度旅游,带薪年病假,弹性工作”","金融, 后端开发, MySQL, redis, 架构",https://www.lagou.com/jobs/3346434.html
Python开发工程师,深圳·科技园,15k-25k,经验3-5年 / 本科,腾讯,"移动互联网 ,游戏 / 上市公司",“福利待遇优厚、大平台”,"免费班车, 成长空间, 年度旅游, 岗位晋升",https://www.lagou.com/jobs/1443983.html
python研发工程师,北京·中关村,15k-20k,经验3-5年 / 大专,先花花,"移动互联网,金融 / B轮",“带薪年假”,"大数据, Java",https://www.lagou.com/jobs/4139271.html
高级Python开发工程师,深圳·香蜜湖,15k-23k,经验1-3年 / 本科,晶泰科技,"企业服务,医疗健康 / B轮","“大牛多,公司氛围好,周末双休,成长快”","云计算, 后端开发, web, Go, django",https://www.lagou.com/jobs/3325916.html
服务端高级开发工程师Golang/Python,北京·望京,35k-45k,经验3-5年 / 本科,美团点评,"移动互联网,O2O / D轮及以上","“优厚待遇,技术导向”","资深, 大数据, C++, Java",https://www.lagou.com/jobs/4134091.html
高级Python开发工程师,深圳·香蜜湖,15k-23k,经验1-3年 / 本科,晶泰科技,"企业服务,医疗健康 / B轮","“大牛多,公司氛围好,周末双休,成长快”","云计算, 后端开发, web, Go, django",https://www.lagou.com/jobs/3325916.html
python工程师,北京·望京,20k-40k,经验3-5年 / 本科,作业盒子,"移动互联网,教育 / C轮","“大平台,技术牛,好前景,核心职位”","后端开发, 大数据, 数据挖掘",https://www.lagou.com/jobs/4206282.html
搜狗AI云-Python开发工程师,北京·五道口,15k-25k,经验1-3年 / 本科,搜狗,"移动互联网,数据服务 / C轮",“人工智能、最前沿技术能力、巨大成长空间”,"C++, Java, 算法",https://www.lagou.com/jobs/3482052.html
Python开发工程师（高级）,深圳·科技园,30k-50k,经验3-5年 / 本科,Shopee,电子商务 / 上市公司,“东南亚跨境电商平台，发展非常迅速，求大牛”,"PHP, Ruby",https://www.lagou.com/jobs/2666427.html
搜狗AI云-Python开发工程师,北京·五道口,15k-25k,经验1-3年 / 本科,搜狗,"移动互联网,数据服务 / C轮",“人工智能、最前沿技术能力、巨大成长空间”,"C++, Java, 算法",https://www.lagou.com/jobs/3482052.html
Python开发,深圳·南油,20k-30k,经验3-5年 / 本科,顺丰科技有限公司,"移动互联网,电子商务 / 不需要融资","“开发,能力论英雄”","云计算, linux",https://www.lagou.com/jobs/4229699.html
Python开发工程师,北京·中关村,15k-25k,经验3-5年 / 本科,汽车之家,"移动互联网,文化娱乐 / 上市公司",“平台好，发展空间大”,golang,https://www.lagou.com/jobs/3015996.html
Python开发工程师,深圳·科技园,15k-25k,经验3-5年 / 本科,腾讯,"移动互联网 ,游戏 / 上市公司",“福利待遇优厚、大平台”,"免费班车, 成长空间, 年度旅游, 岗位晋升",https://www.lagou.com/jobs/1443983.html
Python开发工程师,北京·中关村,15k-25k,经验3-5年 / 本科,汽车之家,"移动互联网,文化娱乐 / 上市公司",“平台好，发展空间大”,golang,https://www.lagou.com/jobs/3015996.html
Python开发工程师（上海）,上海·唐镇,10k-15k,经验不限 / 本科,平安科技,金融 / 不需要融资,“公司发展前景好，福利待遇好”,"金融, 大数据, 数据挖掘, 算法, 数据结构",https://www.lagou.com/jobs/3215849.html
中级Python工程师,成都·高新区,10k-15k,经验3-5年 / 本科,BBD,"电子商务,数据服务 / C轮","“五险一金,技术大牛,大数据,加班补贴”","软件开发, 大数据, Java",https://www.lagou.com/jobs/3834707.html
高级Python开发工程师,深圳·香蜜湖,15k-23k,经验1-3年 / 本科,晶泰科技,"企业服务,医疗健康 / B轮","“大牛多,公司氛围好,周末双休,成长快”","云计算, 后端开发, web, Go, django",https://www.lagou.com/jobs/3325916.html
中级Python工程师,成都·高新区,10k-15k,经验3-5年 / 本科,BBD,"电子商务,数据服务 / C轮","“五险一金,技术大牛,大数据,加班补贴”","软件开发, 大数据, Java",https://www.lagou.com/jobs/3834707.html
Python开发工程师,北京·三里屯,18k-25k,经验1-3年 / 本科,天下秀,"移动互联网,广告营销 / C轮","“团队氛围好,五险一金,节日福利”","云计算, 中级",https://www.lagou.com/jobs/4166097.html
高级Python开发工程师,深圳·科技园,16k-22k,经验3-5年 / 本科,明源云,"移动互联网,企业服务 / 上市公司",“技术导向，牛人多，氛围赞，扁平管理”,"PHP, 大数据, Java, hadoop",https://www.lagou.com/jobs/4120372.html
搜狗AI云-Python开发工程师,北京·五道口,15k-25k,经验1-3年 / 本科,搜狗,"移动互联网,数据服务 / C轮",“人工智能、最前沿技术能力、巨大成长空间”,"C++, Java, 算法",https://www.lagou.com/jobs/3482052.html
高级Python开发工程师,深圳·科技园,16k-22k,经验3-5年 / 本科,明源云,"移动互联网,企业服务 / 上市公司",“技术导向，牛人多，氛围赞，扁平管理”,"PHP, 大数据, Java, hadoop",https://www.lagou.com/jobs/4120372.html
Python研发工程师,杭州·西溪,15k-23k,经验1-3年 / 本科,酷家乐,移动互联网 / D轮及以上,“期权激励、年度旅游、年终丰厚、零食水果”,"后端开发, Java, 系统开发, golang",https://www.lagou.com/jobs/3712940.html
高级Python研发工程师,北京·四惠,25k-35k,经验3-5年 / 本科,掌阅,移动互联网 / 不需要融资,"“扁平化管理,福利待遇佳,学习氛围好,晋升空间大”","云计算, Java, 架构",https://www.lagou.com/jobs/2704328.html
Python开发工程师,北京·中关村,15k-25k,经验3-5年 / 本科,汽车之家,"移动互联网,文化娱乐 / 上市公司",“平台好，发展空间大”,golang,https://www.lagou.com/jobs/3015996.html
高级Python研发工程师,北京·四惠,25k-35k,经验3-5年 / 本科,掌阅,移动互联网 / 不需要融资,"“扁平化管理,福利待遇佳,学习氛围好,晋升空间大”","云计算, Java, 架构",https://www.lagou.com/jobs/2704328.html
Python开发工程师,深圳·科技园,15k-30k,经验1-3年 / 本科,Shopee,电子商务 / 上市公司,“东南亚跨境电商平台、福利棒、美女多”,"后端开发, 全栈, MySQL",https://www.lagou.com/jobs/2614417.html
Python开发工程师,北京·朝阳区,15k-30k,经验5-10年 / 本科,美利金融,"移动互联网,金融 / A轮","“大牛团队,年底绩效”","php, Java, MySQL",https://www.lagou.com/jobs/4252110.html
中级Python工程师,成都·高新区,10k-15k,经验3-5年 / 本科,BBD,"电子商务,数据服务 / C轮","“五险一金,技术大牛,大数据,加班补贴”","软件开发, 大数据, Java",https://www.lagou.com/jobs/3834707.html
Python开发工程师,北京·朝阳区,15k-30k,经验5-10年 / 本科,美利金融,"移动互联网,金融 / A轮","“大牛团队,年底绩效”","php, Java, MySQL",https://www.lagou.com/jobs/4252110.html
python工程师,北京·海淀区,15k-30k,经验3-5年 / 本科,Face++,"移动互联网,硬件 / C轮",“平台好；福利多”,"后端开发, 后端, 爬虫, 测试平台",https://www.lagou.com/jobs/3940038.html
Python工程师,北京·海淀区,20k-40k,经验1-3年 / 本科,Face++,"移动互联网,硬件 / C轮","“技术驱动,极客氛围,大牛团队”","中级, 后端, django",https://www.lagou.com/jobs/3093928.html
Python工程师,北京·海淀区,20k-40k,经验1-3年 / 本科,Face++,"移动互联网,硬件 / C轮","“技术驱动,极客氛围,大牛团队”","中级, 后端, django",https://www.lagou.com/jobs/3093928.html
高级Python开发工程师,深圳·科技园,16k-22k,经验3-5年 / 本科,明源云,"移动互联网,企业服务 / 上市公司",“技术导向，牛人多，氛围赞，扁平管理”,"PHP, 大数据, Java, hadoop",https://www.lagou.com/jobs/4120372.html
